"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\adminFeeedbackScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\archiveFindScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\mainAdminScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\mainArchiveScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\mainControlScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\mainProfanityScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\widgets\Misc\prohibitDialog.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\adminItem.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\assignAdminScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\banMemberScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubBannedScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubBanner.dart", "Dart", 0, 2, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubCenterScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubMemberScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubTopicsTab.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\manageClubScreen.dart", "Dart", 0, 2, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\newClubPost.dart", "Dart", 0, 13, 0, 0, 13
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\addFlareComment.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\addFlareReply.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\customizeFlareScreen.dart", "Dart", 0, 1, 0, 1, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareCommentAlerts.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareCommentLikesScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareHistoryScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareLikeAlerts.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareProfileScreen.dart", "Dart", 0, 3, 0, 0, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareTabWidget.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flaresTab.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\likedFlareScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\megaFlare.dart", "Dart", 0, 1, 0, 1, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\newCollectionScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\general.dart", "Dart", 0, 12, 0, 1, 13
"c:\Users\User\Desktop\receive\linkspeak\lib\loading\clubSkeleton.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\loading\flareProfileSkeleton.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\main.dart", "Dart", 0, 28, 0, 1, 29
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\Feed.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\LinkedNotifScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\LinksNotifScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\PostCommentsNotifScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\addPostScreen.dart", "Dart", 0, 17, 0, 0, 17
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\additionalDetails.dart", "Dart", 0, 4, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\blockedUserScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\chatScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\clubsTab.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\commentLikesScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\commentRepliesNotifScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\editProfile.dart", "Dart", 0, 2, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\favClubPosts.dart", "Dart", 0, 1, 0, -1, 0
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\favUserPosts.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\favoritePostsScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\featureDocScreen.dart", "Dart", 0, 1, 0, 1, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\finishSetup.dart", "Dart", 0, 3, 0, 0, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\flareCommentHistoryScreen.dart", "Dart", 0, 1, 0, 0, 1
