"filename", "language", "C++", "YAML", "Markdown", "JSON", "Dart", "CSS", "Swift", "XML", "HTML", "JavaScript", "Groovy", "Properties", "Java", "comment", "blank", "total"
"c:\Users\User\Desktop\receive\linkspeak\README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Users\User\Desktop\receive\linkspeak\analysis_options.yaml", "YAML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 4, 30
"c:\Users\User\Desktop\receive\linkspeak\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 7, 14, 92
"c:\Users\User\Desktop\receive\linkspeak\android\app\google-services.json", "JSON", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146
"c:\Users\User\Desktop\receive\linkspeak\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 2, 89
"c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\java\com\linkspeak\techlr\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 3, 20
"c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\java\com\linkspeak\techlr\NativeAdFactoryExample.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 7, 16, 100
"c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\layout\my_native_ad.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 17, 131
"c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 9, 0, 19
"c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 0, 17
"c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 9, 0, 19
"c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\xml\filepaths.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\android\app\src\main\res\xml\network_security_config.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\User\Desktop\receive\linkspeak\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
